sample,treatment,replicate,rack,height1,leaf1,chloro1,height2,leaf2,chloro2,height3,leaf3,chloro3,height4,leaf4,chloro4,nod_mass,total_nod,shoot_mass,root_mass
717-18-r30,717,18,30,2.3,6,43,5,12,27.6,5.3,15,29.3,5.6,24,24.1,NA,0,51.82,59.68
717-19-r30,717,19,30,1.5,6,43.8,3.5,12,31.4,4.5,15,28.6,5.3,19,28.6,NA,0,45.43,49.68
717-20-r30,717,20,30,1.7,3,37.6,2.3,6,34.2,4.6,15,28.6,5.7,20,25.6,NA,0,43.48,30.76
733-1-r5,733,1,5,1.6,3,25.5,2.8,9,33.8,3.2,15,29.3,3.8,24,29.2,NA,0,40.95,44.83
733-2-r5,733,2,5,2.3,7,37.6,4,13,37.2,4.2,19,26.2,4.3,35,25.9,NA,0,64.3,84.31
733-3-r5,733,3,5,1.5,6,38.2,3.2,9,37.8,3.4,15,27.2,3.6,20,23.6,NA,0,46.63,52.29
733-4-r5,733,4,5,2.1,6,35.5,3.4,12,32,3.2,15,26.8,3.4,20,25.4,NA,0,39.99,32.54
733-5-r5,733,5,5,2.3,6,37.6,3.8,12,34,3.9,15,30.7,4.3,24,28,NA,0,54.59,79.88
733-6-r1,733,6,1,2.1,9,37,4.4,12,33.5,4.5,30,29,5.2,24,25.1,NA,0,54,69.44
733-7-r1,733,7,1,2.5,6,37.5,4.2,12,36.1,4.4,18,26.5,5.2,24,27.1,NA,0,55.57,48.92
733-8-r1,733,8,1,1.6,6,45.7,4,12,38.7,4.7,15,31.1,4.7,22,25.4,NA,0,54.57,73.2
733-9-r1,733,9,1,2.9,6,38.4,4.3,12,37.8,3.9,15,30.2,4.3,30,25.4,NA,0,64.37,91.15
733-10-r1,733,10,1,2.5,6,37.1,4.3,12,37.7,4.3,16,30.2,4.5,39,25.1,NA,0,67.84,101.98
733-11-r25,733,11,25,1.5,6,34.3,2.4,11,34.8,2.8,13,28.2,3.2,19,23.1,NA,0,32.07,28.91
733-12-r25,733,12,25,1.6,6,32.8,2.6,9,34.3,2.6,15,26.5,2.9,17,24.2,NA,0,28.87,15.39
733-13-r25,733,13,25,2.2,6,37.4,3.6,9,31,3.7,15,29.7,3.1,18,24.8,NA,0,40.6,51.93
733-14-r25,733,14,25,2.3,6,32.5,3.1,9,35.7,3.5,15,26,3.5,24,25.4,NA,0,43.88,30.33
733-15-r25,733,15,25,2,3,39.7,2.6,9,37.8,3.4,15,24.8,4,21,29.6,NA,0,32.76,26.72
733-16-r27,733,16,27,2.4,6,38.6,3.2,9,33.3,3.2,12,31.5,4.6,18,21.6,NA,0,38.74,42.47
733-17-r27,733,17,27,2.4,6,34.9,3.3,12,35,6.6,18,34.2,5.8,35,29.3,0.0009962,31,95.31,74.58
733-18-r27,733,18,27,1.6,6,33.2,2.1,9,35.1,3,15,31.2,3.6,16,26.7,NA,0,29.52,38.77
733-19-r27,733,19,27,2.2,6,35.4,3.3,12,35.2,3.7,13,28.1,4.6,18,24.6,NA,0,39.91,56.13
733-20-r27,733,20,27,2.6,3,27.4,2.3,6,30.3,2.4,12,25.7,3,18,24.3,NA,0,27.91,35.96
522co141-1-r20,522co141,1,20,3,6,58.2,4.5,9,35.9,6.2,17,30.7,8.3,46,44.2,0.0010556,18,163.19,46.66
522co141-2-r20,522co141,2,20,3.3,6,35.7,5.2,12,34.3,7.1,18,36.8,9.5,63,42,0.0017788,30,197.64,82.48
522co141-3-r20,522co141,3,20,2.7,6,33.5,6,15,35.3,7.4,34,39,11.3,64,46.7,0.0010118,50,390.11,131.03
522co141-4-r20,522co141,4,20,3.4,6,36.7,5.4,12,37.2,7.3,18,31.3,9,60,42.8,0.0016414,32,183.96,67.22
