"contrast","estimate","SE","df","t.ratio","p.value","trait"
"141 - 733co141",0.531677747055185,0.558612804346184,31.072513164524,0.951782241507113,0.479260186969601,"height4"
"522co141 - 702co141",0.255,0.55696076954202,30.7212435269499,0.457841941380688,0.760975224920662,"height4"
"522co141 - 717co141",1.36500000000001,0.55696076954202,30.7212435269499,2.45080098033194,0.0357499522093632,"height4"
"522co141 - 733co141",0.829999999999997,0.55696076954202,30.7212435269499,1.49023063272929,0.236758981156655,"height4"
"702co141 - 717co141",1.11000000000001,0.55696076954202,30.7212435269498,1.99295903895125,0.0948976193572276,"height4"
"702co141 - 733co141",0.574999999999996,0.55696076954202,30.7212435269499,1.0323886913486,0.44861096389061,"height4"
"717co141 - 733co141",-0.535000000000016,0.55696076954202,30.7212435269498,-0.960570347602646,0.479260186969601,"height4"
"InCtrl - ExCtrl",2.04560207896476,7.16999343123205,30.9467698843458,0.285300411860107,0.909623720449549,"leaf4"
"InCtrl - 522",1.29560207896474,5.86100936765196,31.0826216611372,0.221054428971811,0.927699356967117,"leaf4"
"InCtrl - 702",1.89560207896475,5.86100936765196,31.0826216611373,0.323425874291713,0.909623720449549,"leaf4"
"InCtrl - 717",-0.834140611388655,5.88116583875975,31.4914632384774,-0.141832526791076,0.953522644968731,"leaf4"
"InCtrl - 733",-0.14731747660782,5.88116583875975,31.4914632384773,-0.0250490261024312,0.983406310535931,"leaf4"
"InCtrl - 141",-45.4374788776393,5.88116583875975,31.4914632384774,-7.7259305592412,1.35695057349813e-07,"leaf4"
"InCtrl - 522co141",-38.1543979210352,5.86100936765196,31.0826216611373,-6.50986810081156,1.12568484051208e-06,"leaf4"
"InCtrl - 702co141",-42.3543979210352,5.86100936765196,31.0826216611373,-7.22646821805085,2.55945393176648e-07,"leaf4"
"InCtrl - 717co141",-27.5543979210352,5.86100936765196,31.0826216611372,-4.70130590016001,0.000102241140891352,"leaf4"
"InCtrl - 733co141",-31.9043979210353,5.86100936765196,31.0826216611373,-5.44349887872928,1.56396997293613e-05,"leaf4"
"ExCtrl - 522",-0.750000000000022,7.15346943717663,30.6757146761033,-0.104844230703254,0.953522644968731,"leaf4"
"ExCtrl - 702",-0.15000000000001,7.15346943717663,30.6757146761033,-0.0209688461406516,0.983406310535931,"leaf4"
"ExCtrl - 717",-2.87974269035342,7.16999343123205,30.9467698843467,-0.401638121146588,0.904502031880567,"leaf4"
"ExCtrl - 733",-2.19291955557258,7.16999343123205,30.9467698843467,-0.305846801200732,0.909623720449549,"leaf4"
"ExCtrl - 141",-47.4830809566041,7.16999343123205,30.9467698843467,-6.62247203041648,9.02657801286611e-07,"leaf4"
"ExCtrl - 522co141",-40.2,7.15346943717663,30.6757146761033,-5.61965076569424,1.03498040072886e-05,"leaf4"
"ExCtrl - 702co141",-44.4,7.15346943717663,30.6757146761033,-6.20677845763244,2.30697659814699e-06,"leaf4"
"ExCtrl - 717co141",-29.6,7.15346943717663,30.6757146761033,-4.1378523050883,0.000463030684980001,"leaf4"
"ExCtrl - 733co141",-33.95,7.15346943717663,30.6757146761033,-4.74594884316716,9.61420314093484e-05,"leaf4"
"522 - 702",0.600000000000012,5.8407833372257,30.6757146761033,0.102725947079044,0.953522644968731,"leaf4"
"522 - 717",-2.1297426903534,5.86100936765196,31.0826216611387,-0.363374728951613,0.909623720449549,"leaf4"
"522 - 733",-1.44291955557256,5.86100936765196,31.0826216611387,-0.246189600640516,0.924863989204586,"leaf4"
"522 - 141",-46.7330809566041,5.86100936765196,31.0826216611388,-7.97355506963237,1.35695057349813e-07,"leaf4"
"522 - 522co141",-39.45,5.8407833372257,30.6757146761033,-6.75423102044704,7.08064847934481e-07,"leaf4"
"522 - 702co141",-43.65,5.8407833372257,30.6757146761034,-7.47331265000033,1.70158163789614e-07,"leaf4"
"522 - 717co141",-28.85,5.8407833372257,30.6757146761033,-4.93940595538395,5.76400702138569e-05,"leaf4"
"522 - 733co141",-33.2,5.8407833372257,30.6757146761033,-5.68416907170701,9.06689940217699e-06,"leaf4"
"702 - 717",-2.72974269035341,5.86100936765196,31.0826216611387,-0.465746174271514,0.8647668808229,"leaf4"
"702 - 733",-2.04291955557257,5.86100936765196,31.0826216611387,-0.348561045960418,0.909623720449549,"leaf4"
"702 - 141",-47.3330809566041,5.86100936765196,31.0826216611388,-8.07592651495227,1.35695057349813e-07,"leaf4"
"702 - 522co141",-40.05,5.8407833372257,30.6757146761033,-6.85695696752608,5.81464442843537e-07,"leaf4"
"702 - 702co141",-44.25,5.8407833372257,30.6757146761033,-7.57603859707937,1.50638236037612e-07,"leaf4"
"702 - 717co141",-29.45,5.8407833372257,30.6757146761033,-5.042131902463,4.47940329763665e-05,"leaf4"
"702 - 733co141",-33.8,5.8407833372257,30.6757146761033,-5.78689501878606,7.14677970438263e-06,"leaf4"
"717 - 733",0.686823134780835,5.88116583875975,31.4914632384788,0.116783500688645,0.953522644968731,"leaf4"
"717 - 141",-44.6033382662507,5.88116583875975,31.4914632384789,-7.58409803245012,1.49128190944378e-07,"leaf4"
"717 - 522co141",-37.3202573096466,5.86100936765196,31.0826216611387,-6.36754780083176,1.47118595033062e-06,"leaf4"
"717 - 702co141",-41.5202573096466,5.86100936765196,31.0826216611387,-7.08414791807105,3.18028876618659e-07,"leaf4"
"717 - 717co141",-26.7202573096466,5.86100936765196,31.0826216611387,-4.55898560018021,0.000142846958578459,"leaf4"
"717 - 733co141",-31.0702573096466,5.86100936765196,31.0826216611387,-5.30117857874948,2.14884872864459e-05,"leaf4"
"733 - 141",-45.2901614010315,5.88116583875975,31.4914632384789,-7.70088153313877,1.35695057349813e-07,"leaf4"
"733 - 522co141",-38.0070804444274,5.86100936765196,31.0826216611387,-6.48473292914286,1.12765060896355e-06,"leaf4"
"733 - 702co141",-42.2070804444274,5.86100936765196,31.0826216611387,-7.20133304638215,2.55945393176648e-07,"leaf4"
"733 - 717co141",-27.4070804444274,5.86100936765196,31.0826216611387,-4.6761707284913,0.000105926904448852,"leaf4"
"733 - 733co141",-31.7570804444274,5.86100936765196,31.0826216611387,-5.41836370706057,1.60458663770333e-05,"leaf4"
"141 - 522co141",7.2830809566041,5.86100936765196,31.0826216611388,1.24263253984899,0.341147402137806,"leaf4"
